 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
  101,   relocation,            4.51757,            4.51757,            12.7944,            251.196,                  0,       0.000029/0.048283,       0.000523/0.020822,      -0.000000/0.028645,      -0.000023/0.053075,                 0.0/0.0,
  102,   relocation,            4.76295,            4.76295,            11.8898,            246.615,                  0,      -0.000118/0.047809,      -0.000339/0.021384,      -0.000000/0.027614,      -0.000113/0.052589,                 0.0/0.0,
  103,   relocation,            4.11082,            4.11082,            11.2891,            229.447,                  0,      -0.000498/0.046104,       0.000140/0.019869,      -0.000000/0.026907,      -0.000659/0.050721,                 0.0/0.0,
  104,   relocation,            4.09396,            4.09396,             10.573,            223.725,                  0,      -0.000186/0.045494,      -0.000434/0.019823,      -0.000000/0.026040,      -0.000189/0.050089,                 0.0/0.0,
  105,   relocation,            3.69812,            3.69812,            10.0654,            210.872,                  0,      -0.000043/0.044163,       0.000098/0.018845,      -0.000000/0.025407,      -0.000067/0.048629,                 0.0/0.0,
  106,   relocation,            3.67347,            3.67347,            9.51334,            207.039,                  0,      -0.000113/0.043727,       0.000196/0.018781,      -0.000000/0.024700,      -0.000169/0.048185,                 0.0/0.0,
  107,   relocation,             3.3285,             3.3285,            9.05531,            196.383,                  0,      -0.000247/0.042573,       0.000292/0.017876,      -0.000000/0.024098,      -0.000353/0.046927,                 0.0/0.0,
  108,   relocation,            3.46333,            3.46333,            8.50447,            194.848,                  0,      -0.000436/0.042372,       0.000232/0.018236,      -0.000000/0.023354,      -0.000590/0.046741,                 0.0/0.0,
  109,   relocation,            2.96938,            2.96938,            8.11503,            180.231,                  0,       0.000106/0.040756,       0.000208/0.016885,      -0.000000/0.022813,       0.000112/0.044957,                 0.0/0.0,
  110,   relocation,            2.99609,            2.99609,             7.6398,            178.358,                  0,      -0.000319/0.040507,       0.000053/0.016962,      -0.000000/0.022135,      -0.000419/0.044721,                 0.0/0.0,
